År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,0642 Mullsjö,20 kW - 1 000 kW,3,0.11
2016,0642 Mullsjö,> 1 000 kW,0,0
2016,0642 Mullsjö,Totalt,17,0.26
2016,0643 Habo,< 20 kw,..,..
2016,0643 Habo,20 kW - 1 000 kW,0,0
2016,0643 Habo,> 1 000 kW,0,0
2016,0643 Habo,Totalt,..,..
2016,0662 Gislaved,< 20 kw,49,0.45
2016,0662 Gislaved,20 kW - 1 000 kW,2,0.07
2016,0662 Gislaved,> 1 000 kW,0,0
2016,0662 Gislaved,Totalt,51,0.52
2016,0665 Vaggeryd,< 20 kw,18,0.12
2016,0665 Vaggeryd,20 kW - 1 000 kW,1,0.04
2016,0665 Vaggeryd,> 1 000 kW,0,0
2016,0665 Vaggeryd,Totalt,19,0.17
2016,0680 Jönköping,< 20 kw,80,0.71
2016,0680 Jönköping,20 kW - 1 000 kW,26,1.71
2016,0680 Jönköping,> 1 000 kW,0,0
2016,0680 Jönköping,Totalt,106,2.42
2016,0682 Nässjö,< 20 kw,56,0.46
2016,0682 Nässjö,20 kW - 1 000 kW,7,0.23
2016,0682 Nässjö,> 1 000 kW,0,0
2016,0682 Nässjö,Totalt,63,0.7
2016,0683 Värnamo,< 20 kw,59,0.56
2016,0683 Värnamo,20 kW - 1 000 kW,15,0.68
2016,0683 Värnamo,> 1 000 kW,0,0
2016,0683 Värnamo,Totalt,74,1.24
2016,0684 Sävsjö,< 20 kw,..,..
2016,0684 Sävsjö,20 kW - 1 000 kW,7,0.31
2016,0684 Sävsjö,> 1 000 kW,0,0
2016,0684 Sävsjö,Totalt,..,..
2016,0685 Vetlanda,< 20 kw,51,0.46
2016,0685 Vetlanda,20 kW - 1 000 kW,12,0.4
2016,0685 Vetlanda,> 1 000 kW,0,0
2016,0685 Vetlanda,Totalt,63,0.85
2016,0686 Eksjö,< 20 kw,21,0.22
2016,0686 Eksjö,20 kW - 1 000 kW,3,0.09
2016,0686 Eksjö,> 1 000 kW,0,0
2016,0686 Eksjö,Totalt,24,0.31
2016,0687 Tranås,< 20 kw,13,0.13
2016,0687 Tranås,20 kW - 1 000 kW,2,0.09
2016,0687 Tranås,> 1 000 kW,0,0
2016,0687 Tranås,Totalt,15,0.22
2016,0760 Uppvidinge,< 20 kw,18,0.15
2016,0760 Uppvidinge,20 kW - 1 000 kW,2,0.29
2016,0760 Uppvidinge,> 1 000 kW,0,0
2016,0760 Uppvidinge,Totalt,20,0.45
2016,0761 Lessebo,< 20 kw,4,0.02
2016,0761 Lessebo,20 kW - 1 000 kW,0,0
2016,0761 Lessebo,> 1 000 kW,0,0
2016,0761 Lessebo,Totalt,4,0.02
2016,0763 Tingsryd,< 20 kw,30,0.28
2016,0763 Tingsryd,20 kW - 1 000 kW,3,0.11
2016,0763 Tingsryd,> 1 000 kW,0,0
2016,0763 Tingsryd,Totalt,33,0.39
2016,0764 Alvesta,< 20 kw,36,0.36
2016,0764 Alvesta,20 kW - 1 000 kW,3,0.17
2016,0764 Alvesta,> 1 000 kW,0,0
2016,0764 Alvesta,Totalt,39,0.54
2016,0765 Älmhult,< 20 kw,26,0.2
2016,0765 Älmhult,20 kW - 1 000 kW,1,0.02
2016,0765 Älmhult,> 1 000 kW,0,0
2016,0765 Älmhult,Totalt,27,0.22
2016,0767 Markaryd,< 20 kw,17,0.15
